condition_index,condition_name,run_id,seed,structure,leader_style,population_size,max_iterations,adaptive_intimacy,use_rl_leader,num_interventions,final_avg_member_emotion,final_min_member_emotion,final_max_member_emotion,mean_rl_reward,mean_rl_quality
7,,134,13,community,No_Intervention,11,235,True,True,0,-0.7272934589668392,-1.0,-0.1820517753626356,,
7,,135,14,community,No_Intervention,11,235,True,True,0,-0.942124252925532,-1.0,-0.7536947142375369,,
7,,136,15,community,No_Intervention,11,235,True,True,0,-0.7687882032688429,-1.0,-0.09198004650870252,,
7,,137,16,community,No_Intervention,11,235,True,True,0,-0.7500883108256439,-1.0,-0.20975222306885793,,
7,,138,17,community,No_Intervention,11,235,True,True,0,-0.07089392416449361,-0.10792815370631047,-0.0191486896262131,,
7,,139,18,community,No_Intervention,11,235,True,True,0,-6.26762739679872e-06,-1.2269686453912827e-05,-6.037779504750544e-07,,
7,,140,19,community,No_Intervention,11,235,True,True,0,-0.02000973135376343,-0.03534597482225017,-0.008275658270427812,,
8,,141,0,community,High_Fully_Constrained,11,235,True,True,192,-0.6677618674656725,-0.9989547902269923,-0.14605543497300474,-0.0020810481839666187,-0.6397398205372123
8,,142,1,community,High_Fully_Constrained,11,235,True,True,0,-0.15682851057919392,-0.4785157263204628,-0.053281749565666496,5.9049005727880135e-05,-0.20457937946676802
8,,143,2,community,High_Fully_Constrained,11,235,True,True,196,-0.7700012662578938,-0.9981658076660201,-0.23910957204341274,-0.0024995747763472543,-0.7388591322299688
8,,144,3,community,High_Fully_Constrained,11,235,True,True,0,-0.4665558834550921,-1.0,-0.05077035535627637,-0.001280817365844978,-0.4882429187329202
8,,145,4,community,High_Fully_Constrained,11,235,True,True,0,-0.016958962988970726,-0.031616638031203056,-0.006803821035102862,0.0010647821128952082,-0.09179347494045957
8,,146,5,community,High_Fully_Constrained,11,235,True,True,172,-0.7272346257586687,-0.9979473528896554,-0.2793890372882631,-0.002381230256517094,-0.6215144898479225
8,,147,6,community,High_Fully_Constrained,11,235,True,True,0,-0.2635988857057753,-0.43211913400470686,-0.1558348922684103,-0.0002873167037676482,-0.2016056698657456
8,,148,7,community,High_Fully_Constrained,11,235,True,True,101,-0.6469728888029636,-0.9987307998833335,-0.153943866158349,-0.0020679548790463803,-0.4719856213446209
8,,149,8,community,High_Fully_Constrained,11,235,True,True,0,-0.0010670862664512288,-0.0024864173676653976,-0.0006276412569497484,0.0012230862283721094,-0.05245904597324894
8,,150,9,community,High_Fully_Constrained,11,235,True,True,210,-0.6487866389469809,-0.9961433704516203,-0.15572529600264176,-0.0018150472200385262,-0.6438328745375191
8,,151,10,community,High_Fully_Constrained,11,235,True,True,208,-0.8700579802835264,-0.9979860914805206,-0.5517957470905217,-0.0029884522294005627,-0.8232901012957866
8,,152,11,community,High_Fully_Constrained,11,235,True,True,0,-0.0330152039604873,-0.07085424858428672,-0.011690101675823593,0.0009888421619421613,-0.0669081811543242
8,,153,12,community,High_Fully_Constrained,11,235,True,True,208,-0.8011603178750413,-0.9998835742727035,-0.23504888073456653,-0.002390444732145843,-0.7600848513012534
8,,154,13,community,High_Fully_Constrained,11,235,True,True,198,-0.6189052862885038,-0.9915630179630237,-0.10229374239265486,-0.0017577774134440946,-0.6123773831685829
8,,155,14,community,High_Fully_Constrained,11,235,True,True,193,-0.9063372061437713,-0.9969809784049187,-0.6969102966856323,-0.00315307214573374,-0.7953110454046979
8,,156,15,community,High_Fully_Constrained,11,235,True,True,213,-0.7491352654902028,-0.9982061415090479,-0.07930988950327669,-0.002389481576813487,-0.7405868921446549
8,,157,16,community,High_Fully_Constrained,11,235,True,True,192,-0.717760612137551,-0.997409641185602,-0.19696234838056842,-0.0023149661507285402,-0.679908185887519
8,,158,17,community,High_Fully_Constrained,11,235,True,True,0,-0.07089392416449361,-0.10792815370631047,-0.0191486896262131,0.0007074714715732838,-0.20834110548871818
8,,159,18,community,High_Fully_Constrained,11,235,True,True,0,-6.26762739679872e-06,-1.2269686453912827e-05,-6.037779504750544e-07,0.000969711300240217,-0.018345670366672905
8,,160,19,community,High_Fully_Constrained,11,235,True,True,0,-0.02000973135376343,-0.03534597482225017,-0.008275658270427812,0.0008049618902012158,-0.0627169351944216
9,,161,0,community,Low_Fully_Constrained,11,235,True,True,42,-0.7003670919512,-1.0,-0.18468809402173553,-0.0022219047926372447,-0.6713315807385412
9,,162,1,community,Low_Fully_Constrained,11,235,True,True,0,-0.15682851057919392,-0.4785157263204628,-0.053281749565666496,5.9049005727880135e-05,-0.20457937946676802
9,,163,2,community,Low_Fully_Constrained,11,235,True,True,185,-0.7669896592466905,-0.9981658076660201,-0.22930623769528116,-0.002503574785774235,-0.736602339624098
9,,164,3,community,Low_Fully_Constrained,11,235,True,True,0,-0.4665558834550921,-1.0,-0.05077035535627637,-0.001280817365844978,-0.4882429187329202
9,,165,4,community,Low_Fully_Constrained,11,235,True,True,0,-0.016958962988970726,-0.031616638031203056,-0.006803821035102862,0.0010647821128952082,-0.09179347494045957
9,,166,5,community,Low_Fully_Constrained,11,235,True,True,123,-0.7111171728330616,-0.9984705514737476,-0.28220354832607075,-0.00231192814174069,-0.640396524340287
9,,167,6,community,Low_Fully_Constrained,11,235,True,True,0,-0.2635988857057753,-0.43211913400470686,-0.1558348922684103,-0.0002873167037676482,-0.2016056698657456
